RI,dataset,method
0.825700105384,arabic_digits,LDPS
0.979997392802,auslan,LDPS
0.938567642168,trajectories,LDPS
0.539748743719,ecg,LDPS
0.869359331476,libras,LDPS
0.553519202607,wafer,LDPS

0.84943170195,arabic_digits,Jiffy
0.979605172894,auslan,Jiffy
0.965358096901,trajectories,Jiffy
0.586130653266,ecg,Jiffy
0.882760755,libras,Jiffy
0.746078815424,wafer,Jiffy

0.93,arabic_digits,K-Shape
none,auslan,K-Shape
0.961568127392,trajectories,K-Shape
0.623115577889,ecg,K-Shape
0.474899411947,libras,K-Shape
0.545579251384,wafer,K-Shape
