Dataset,               Proposed, MDDTW_{1nn}, LBM
JapaneseVowels         , 1.0000, 0.986,  0.919
ECG                    , 0.9250, 0.865,  0.69
Wafer                  , 0.9916, 0.988,  0.936
AUSLAN                 , 1.0000, 0.959,  0.763
PenDigits              , 0.9714, 0.994,  0.878
RobotEF-LP1            , 0.8235, 0.909,  0.625
RobotEF-LP2            , 0.6670, 0.723,  0.6
RobotEF-LP3            , 0.5600, 0.702,  0.638
RobotEF-LP4            , 0.8780, 0.923,  0.837
RobotEF-LP5            , 0.7814, 0.725,  0.652
Libras                 , 1.0000, 0.908,  0.811
ArabicDigits           , 0.9737, 0.969,  0.763
CharacterTrajectories  , 0.9789, 0.961,  0.857
