accuracy,dataset,size
0.639344262295,Lighting2,4
0.49022892239,uWaveGestureLibrary_X,4
0.832268370607,MoteStrain,4
0.475432719151,uWaveGestureLibrary_Z,4
0.83,ECG200,4
0.785365853659,ProximalPhalanxOutlineAgeGroup,4
0.925373134328,TwoLeadECG,4
1.0,Coffee,4
0.233333333333,Cricket_Y,4
0.757071547421,SonyAIBORobotSurface,4
0.332824427481,NonInvasiveFatalECG_Thorax2,4
0.473684210526,MiddlePhalanxTW,4
0.715,Yoga,4
0.2,Beef,4
0.643902439024,FacesUCR,4
0.81,DistalPhalanxOutlineAgeGroup,4
0.736842105263,ToeSegmentation1,4
0.86825,Two_Patterns,4
0.7925,DistalPhalanxOutlineAgeGroup,4
0.6493,Lighting2,8
0.730318257956,uWaveGestureLibrary_X,8
0.835463258786,MoteStrain,8
0.92,ECG200,8
0.8,ProximalPhalanxOutlineAgeGroup,8
0.962247585601,TwoLeadECG,8
1.0,Coffee,8
0.535897435897,Cricket_Y,8
0.64824120603,uWaveGestureLibrary_Z,8
0.763727121464,SonyAIBORobotSurface,8
0.744020356234,NonInvasiveFatalECG_Thorax2,8
0.785365853659,FacesUCR,8
0.543859649123,MiddlePhalanxTW,8
0.819333333333,Yoga,8
0.633333333333,Beef,8
0.843902439024,FacesUCR,8
0.7875,DistalPhalanxOutlineAgeGroup,8
0.732456140351,ToeSegmentation1,8
0.91925,Two_Patterns,8
0.737704918033,Lighting2,16
0.753489670575,uWaveGestureLibrary_X,16
0.833865814696,MoteStrain,16
0.685092127303,uWaveGestureLibrary_Z,16
0.9,ECG200,16
0.8,ProximalPhalanxOutlineAgeGroup,16
0.96839332748,TwoLeadECG,16
1.0,Coffee,16
0.625641025641,Cricket_Y,16
0.768718801997,SonyAIBORobotSurface,16
0.852417302799,NonInvasiveFatalECG_Thorax2,16
0.889268292683,FacesUCR,16
0.573934837093,MiddlePhalanxTW,16
0.834333333333,Yoga,16
0.733333333333,Beef,16
0.892195121951,FacesUCR,16
0.755,DistalPhalanxOutlineAgeGroup,16
0.785087719298,ToeSegmentation1,16
0.99175,Two_Patterns,16
0.7775,DistalPhalanxOutlineAgeGroup,16
0.786885245902,Lighting2,32
0.781686208822,uWaveGestureLibrary_X,32
0.835463258786,MoteStrain,32
0.709380234506,uWaveGestureLibrary_Z,32
0.89,ECG200,32
0.829268292683,ProximalPhalanxOutlineAgeGroup,32
0.920983318701,TwoLeadECG,32
1.0,Coffee,32
0.682051282051,Cricket_Y,32
0.805324459235,SonyAIBORobotSurface,32
0.869720101781,NonInvasiveFatalECG_Thorax2,32
0.902926829268,FacesUCR,32
0.571428571429,MiddlePhalanxTW,32
0.865666666667,Yoga,32
0.733333333333,Beef,32
0.892195121951,FacesUCR,32
0.7725,DistalPhalanxOutlineAgeGroup,32
0.771929824561,ToeSegmentation1,32
0.99125,Two_Patterns,32
0.78,DistalPhalanxOutlineAgeGroup,32
0.786885245902,Lighting2,64
0.773590173088,uWaveGestureLibrary_X,64
0.859424920128,MoteStrain,64
0.720826353992,uWaveGestureLibrary_Z,64
0.92,ECG200,64
0.819512195122,ProximalPhalanxOutlineAgeGroup,64
0.977172958736,TwoLeadECG,64
1.0,Coffee,64
0.702564102564,Cricket_Y,64
0.732113144759,SonyAIBORobotSurface,64
0.876844783715,NonInvasiveFatalECG_Thorax2,64
0.913170731707,FacesUCR,64
0.601503759398,MiddlePhalanxTW,64
0.856333333333,Yoga,64
0.833333333333,Beef,64
0.901951219512,FacesUCR,64
0.7725,DistalPhalanxOutlineAgeGroup,64
0.75,ToeSegmentation1,64
0.99675,Two_Patterns,64
0.7925,DistalPhalanxOutlineAgeGroup,64
0.72131147541,Lighting2,128
0.7936906756,uWaveGestureLibrary_X,128
0.849840255591,MoteStrain,128
0.701005025126,uWaveGestureLibrary_Z,128
0.9,ECG200,128
0.809756097561,ProximalPhalanxOutlineAgeGroup,128
0.971027216857,TwoLeadECG,128
1.0,Coffee,128
0.689743589744,Cricket_Y,128
0.800332778702,SonyAIBORobotSurface,128
0.891603053435,NonInvasiveFatalECG_Thorax2,128
0.909268292683,FacesUCR,128
0.5664160401,MiddlePhalanxTW,128
0.847333333333,Yoga,128
0.733333333333,Beef,128
0.907804878049,FacesUCR,128
0.7775,DistalPhalanxOutlineAgeGroup,128
0.719298245614,ToeSegmentation1,128
0.99925,Two_Patterns,128
0.7975,DistalPhalanxOutlineAgeGroup,128
0.754098360656,Lighting2,256
0.792853154662,uWaveGestureLibrary_X,256
0.845047923323,MoteStrain,256
0.703796761586,uWaveGestureLibrary_Z,256
0.9,ECG200,256
0.858536585366,ProximalPhalanxOutlineAgeGroup,256
0.981562774363,TwoLeadECG,256
1.0,Coffee,256
0.682051282051,Cricket_Y,256
0.780366056572,SonyAIBORobotSurface,256
0.89262086514,NonInvasiveFatalECG_Thorax2,256
0.910731707317,FacesUCR,256
0.588972431078,MiddlePhalanxTW,256
0.856,Yoga,256
0.7,Beef,256
0.912195121951,FacesUCR,256
0.79,DistalPhalanxOutlineAgeGroup,256
0.776315789474,ToeSegmentation1,256
0.9975,Two_Patterns,256
0.7875,DistalPhalanxOutlineAgeGroup,256
