accuracy,dataset,network,poolsize
0.633393829401,Beef,ts_autoencoder,0.0
0.500220811944,Yoga,ts_autoencoder,0.0
0.524807826695,Coffee,ts_autoencoder,0.0
0.664051684356,ECG200,ts_autoencoder,0.0
0.867329630492,FacesUCR,ts_autoencoder,0.0
0.854059347633,Cricket_Y,ts_autoencoder,0.0
0.611451360205,Lighting2,ts_autoencoder,0.0
0.502716372616,TwoLeadECG,ts_autoencoder,0.0
0.624896826852,Two_Patterns,ts_autoencoder,0.0
0.59551385864,MoteStrain,ts_autoencoder,0.0
0.661826981246,Beef,ts_autoencoder,0.1
0.49990150371,Yoga,ts_autoencoder,0.1
0.491264849755,Coffee,ts_autoencoder,0.1
0.652566271856,ECG200,ts_autoencoder,0.1
0.874285128293,FacesUCR,ts_autoencoder,0.1
0.856408373118,Cricket_Y,ts_autoencoder,0.1
0.51146560319,Lighting2,ts_autoencoder,0.1
0.505853738359,TwoLeadECG,ts_autoencoder,0.1
0.636108035369,Two_Patterns,ts_autoencoder,0.1
0.672262243815,MoteStrain,ts_autoencoder,0.1
0.656987295826,Beef,ts_autoencoder,0.2
0.500157538884,Yoga,ts_autoencoder,0.2
0.535290006988,Coffee,ts_autoencoder,0.2
0.563913244116,ECG200,ts_autoencoder,0.2
0.888288378178,FacesUCR,ts_autoencoder,0.2
0.849344754229,Cricket_Y,ts_autoencoder,0.2
0.534539239425,Lighting2,ts_autoencoder,0.2
0.500907441016,TwoLeadECG,ts_autoencoder,0.2
0.637193600674,Two_Patterns,ts_autoencoder,0.2
0.704164107146,MoteStrain,ts_autoencoder,0.2
0.670296430732,Beef,ts_autoencoder,0.3
0.499907941376,Yoga,ts_autoencoder,0.3
0.608665269043,Coffee,ts_autoencoder,0.3
0.498743783008,ECG200,ts_autoencoder,0.3
0.888933366276,FacesUCR,ts_autoencoder,0.3
0.862145288881,Cricket_Y,ts_autoencoder,0.3
0.496083179034,Lighting2,ts_autoencoder,0.3
0.532153164143,TwoLeadECG,ts_autoencoder,0.3
0.66055007154,Two_Patterns,ts_autoencoder,0.3
0.683550194524,MoteStrain,ts_autoencoder,0.3
0.656987295826,Beef,ts_autoencoder,0.4
0.499874833379,Yoga,ts_autoencoder,0.4
0.496855345912,Coffee,ts_autoencoder,0.4
0.537660872686,ECG200,ts_autoencoder,0.4
0.891327226337,FacesUCR,ts_autoencoder,0.4
0.859154416995,Cricket_Y,ts_autoencoder,0.4
0.498646916394,Lighting2,ts_autoencoder,0.4
0.532153164143,TwoLeadECG,ts_autoencoder,0.4
0.6715799788,Two_Patterns,ts_autoencoder,0.4
0.726933601385,MoteStrain,ts_autoencoder,0.4
0.668481548699,Beef,ts_autoencoder,0.5
0.500855565813,Yoga,ts_autoencoder,0.5
0.508036338225,Coffee,ts_autoencoder,0.5
0.636107265549,ECG200,ts_autoencoder,0.5
0.894291241624,FacesUCR,ts_autoencoder,0.5
0.865979824849,Cricket_Y,ts_autoencoder,0.5
0.495798319328,Lighting2,ts_autoencoder,0.5
0.576223557764,TwoLeadECG,ts_autoencoder,0.5
0.629341430388,Two_Patterns,ts_autoencoder,0.5
0.574705112216,MoteStrain,ts_autoencoder,0.5
0.637628554144,Beef,ts_autoencoder,0.6
0.502676505628,Yoga,ts_autoencoder,0.6
0.51572327044,Coffee,ts_autoencoder,0.6
0.610726554889,ECG200,ts_autoencoder,0.6
0.904422979156,FacesUCR,ts_autoencoder,0.6
0.84897420373,Cricket_Y,ts_autoencoder,0.6
0.495798319328,Lighting2,ts_autoencoder,0.6
0.512994257832,TwoLeadECG,ts_autoencoder,0.6
0.628521490645,Two_Patterns,ts_autoencoder,0.6
0.59551385864,MoteStrain,ts_autoencoder,0.6
0.655777374471,Beef,ts_autoencoder,0.7
0.500601737839,Yoga,ts_autoencoder,0.7
0.627533193571,Coffee,ts_autoencoder,0.7
0.587909552377,ECG200,ts_autoencoder,0.7
0.903070048321,FacesUCR,ts_autoencoder,0.7
0.866545576057,Cricket_Y,ts_autoencoder,0.7
0.496652898448,Lighting2,ts_autoencoder,0.7
0.523185861771,TwoLeadECG,ts_autoencoder,0.7
0.614283335908,Two_Patterns,ts_autoencoder,0.7
0.616567078051,MoteStrain,ts_autoencoder,0.7
0.638838475499,Beef,ts_autoencoder,0.8
0.499857359715,Yoga,ts_autoencoder,0.8
1.0,Coffee,ts_autoencoder,0.8
0.592267856227,ECG200,ts_autoencoder,0.8
0.905616741658,FacesUCR,ts_autoencoder,0.8
0.862912857771,Cricket_Y,ts_autoencoder,0.8
0.508617006124,Lighting2,ts_autoencoder,0.8
0.581024069501,TwoLeadECG,ts_autoencoder,0.8
0.573664166487,Two_Patterns,ts_autoencoder,0.8
0.6219616165,MoteStrain,ts_autoencoder,0.8
0.609800362976,Beef,ts_autoencoder,0.9
0.499852945315,Yoga,ts_autoencoder,0.9
0.490566037736,Coffee,ts_autoencoder,0.9
0.583653796852,ECG200,ts_autoencoder,0.9
0.890635913127,FacesUCR,ts_autoencoder,0.9
0.860610151099,Cricket_Y,ts_autoencoder,0.9
0.501780373166,Lighting2,ts_autoencoder,0.9
0.536236648716,TwoLeadECG,ts_autoencoder,0.9
0.645951796768,Two_Patterns,ts_autoencoder,0.9
0.59829365301,MoteStrain,ts_autoencoder,0.9
0.637628554144,Beef,ts_autoencoder,1.0
0.499895433911,Yoga,ts_autoencoder,1.0
0.491264849755,Coffee,ts_autoencoder,1.0
0.579500589653,ECG200,ts_autoencoder,1.0
0.894338754559,FacesUCR,ts_autoencoder,1.0
0.863316493137,Cricket_Y,ts_autoencoder,1.0
0.496083179034,Lighting2,ts_autoencoder,1.0
0.518563863021,TwoLeadECG,ts_autoencoder,1.0
0.641091417556,Two_Patterns,ts_autoencoder,1.0
0.64138046574,MoteStrain,ts_autoencoder,1.0
